Business_Name,,Location,,Review text,,,,,,,,,,Rating
MTR,,Sudhama Nagar,, For me it was wow-its-yummy kind of delicious ,,,,,,,,,,4
MTR,,Sudhama Nagar,,The system is so broken. Menu is displayed on a board on the ground floor - without the pricing.,,,,,,,,,,3
MTR,,Sudhama Nagar,,"The experience due to wait time gets subsided, food is definitely very good. ",,,,,,,,,,4
MTR,,Sudhama Nagar,,If you are hard core dosa lover then the place is fine otherwise with these it comes to average.,,,,,,,,,,4
MTR,,Sudhama Nagar,,"Best of banglore. It still retains its old charm, I visit this place every time im in Bangalore. Must visit",,,,,,,,,,5
MTR,,Sudhama Nagar,,special meals was just ordinary for the price. waste of money,,,,,,,,,,3
MTR,,Sudhama Nagar,,One of the best place to have breakfast if you are in Bengaluru. ,,,,,,,,,,5
MTR,,Sudhama Nagar,, Food they serves is so delicious and yummy that you keep eating. ,,,,,,,,,,5
MTR,,Sudhama Nagar,,Great experience with the place and staff. Food is just amazing best Masala Dosa I have had in a long time.,,,,,,,,,,5
MTR,,Sudhama Nagar,,Had tiffin from the Indiranagar hotel. very bad food. Not recommended,,,,,,,,,,2
MTR,,Sudhama Nagar,,"Very average dosa and idly , does not deserve to be rated this high. ",,,,,,,,,,3
MTR,,Sudhama Nagar,,It is one of the best place to have South Indian food.,,,,,,,,,,5
MTR,,Sudhama Nagar,,MTR has been known for its breakfast dishes and also their lunch thali.,,,,,,,,,,4
MTR,,Sudhama Nagar,,The most stupid staff came accross..No manners to talk ,,,,,,,,,,3
MTR,,Sudhama Nagar,,I had visited MTR with my family and the food was really very tasty.,,,,,,,,,,5
MTR,,Sudhama Nagar,,My mother really loved the food. Her satisfaction to have the meal in an authentic way ,,,,,,,,,,5
MTR,,Sudhama Nagar,,"Everything was so tasty, especially all the dosa varities. It is a literal South Indian paradise.",,,,,,,,,,5
MTR,,Sudhama Nagar,,Honestly not at all worth the hype.,,,,,,,,,,2
MTR,,Sudhama Nagar,,"MTR is an emotion to most of the Bangaloreans, and they still carry it well.",,,,,,,,,,4
MTR,,Sudhama Nagar,,"The worst ever I have ever visited...too expensive for the quality they provide , unnecessary waiting.",,,,,,,,,,3
MTR,,Sudhama Nagar,,"MTR was a legend, though only once upon a time. The quality, service and taste levels are just not upto the mark.",,,,,,,,,,4
MTR,,Sudhama Nagar,,"Food, service & ambience... all need an upgrade.",,,,,,,,,,3
MTR,,Sudhama Nagar,,Horrible experience. Other MTRs are much better.,,,,,,,,,,3
MTR,,Sudhama Nagar,,"Well, one of the most legendary and renowned South Indian restaurants in Bengaluru, MTR!",,,,,,,,,,5
MTR,,Sudhama Nagar,,A good place to have South Indian tiffin. Must try Ghee roast masala dosa.,,,,,,,,,,5
MTR,,Sudhama Nagar,, Taste wise awesome. For breakfast visit before 9:00 am,,,,,,,,,,4
MTR,,Sudhama Nagar,,This would be probably one of thr best South Indian place I have been. ,,,,,,,,,,5
MTR,,Sudhama Nagar,,"I solely love the place whenever I visit here, for the taste that it has to provide. ",,,,,,,,,,5
MTR,,Sudhama Nagar,,If you like fine dining places this place is not for you. This place is more like a dining place where you might need to wait in a long queue. But the wait is worth it!,,,,,,,,,,4
MTR,,Sudhama Nagar,,"Quick service , great ambiance and a place kept neat and clean",,,,,,,,,,5
MTR,,Sudhama Nagar,,Absolutely THE most Bangalore-esque Bangalore restaurant that comes to mind when you want that delicious Bangalore food,,,,,,,,,,5
MTR,,Sudhama Nagar,,This is the place in Bangalore to enjoy awesome traditional South Indian snacks prepared and served in hygiene conditions,,,,,,,,,,5
MTR,,Sudhama Nagar,,"The og,undoubtedly one of the best dosas you can get in bangalore,bear with the crowd if going on a weekend.",,,,,,,,,,5
MTR,,Sudhama Nagar,,Breakfast in this joint is always like a must do thing if you are planning for a holiday in Bangalore. taste at its best :),,,,,,,,,,5
MTR,,Sudhama Nagar,,Amazing place to visit...had a memorable and delicious breakfast. The environment in here is little crowded but it's really worth,,,,,,,,,,5
MTR,,Sudhama Nagar,,Breakfast is great but i have had it a lot of times and its quite similar in the city with each of their tweaks. Lunch was a first for me and its was a huge lunch. ,,,,,,,,,,4
MTR,,Sudhama Nagar,,"The food was excellent, and the service was decently good. But the place is too crowded.",,,,,,,,,,5
MTR,,Sudhama Nagar,,MTR lunch home is one of the OG places you have to stop by.,,,,,,,,,,5
MTR,,Sudhama Nagar,,"Amazing south Indian taste with all classic feel. Enjoyed the masala dosa here. The thing that I liked is, dosa layer was thick but still properly baked/cooked ",,,,,,,,,,5
MTR,,Sudhama Nagar,,Delectable & filling breakfast of Rava idli & masala dosa with a rich smear of pure ghee. Very Yummy,,,,,,,,,,5
MTR,,Sudhama Nagar,,No need for publicity. MTR is world famous. Little expensive now but no one cares as getting a seat is important. None to match.,,,,,,,,,,5
MTR,,Sudhama Nagar,,"Mavalli Tiffin Rooms is quiet synonymous with authentic, home style Karnataka food that is available in Bangalore",,,,,,,,,,4
MTR,,Sudhama Nagar,,"Excellent service, Impeccable quality, Undeniable quantity. Make sure you check the timings before going as lunch starts at 12:30",,,,,,,,,,5
